protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,logged_in,serror_rate,rerror_rate
udp,other,SF,146,105,3,2,0,0.0,0.0
tcp,http,SF,247,1416,11,11,1,0.0,0.0
tcp,http,SF,353,1483,3,9,1,0.0,0.0
udp,domain_u,SF,44,44,109,189,0,0.0,0.0
tcp,private,REJ,0,0,146,18,0,0.0,1.0
tcp,csnet_ns,S0,0,0,300,6,0,1.0,0.0
tcp,smtp,SF,3065,331,1,2,1,0.0,0.0
udp,other,SF,102,102,1,1,0,0.0,0.0
tcp,http,SF,259,750,4,5,1,0.0,0.0
udp,other,SF,147,105,2,2,0,0.0,0.0
tcp,private,S0,0,0,129,16,0,1.0,0.0
tcp,http,SF,0,354,32,32,0,0.03,0.0
tcp,http,SF,309,306,1,1,1,0.0,0.0
tcp,http,REJ,0,0,1,2,0,0.0,1.0
tcp,http,SF,278,7227,3,3,1,0.0,0.0
udp,private,SF,28,0,82,82,0,0.0,0.0
tcp,http,SF,313,761,1,1,1,0.0,0.0
tcp,http,SF,219,1212,15,15,1,0.0,0.0
tcp,http,SF,245,9165,2,3,1,0.0,0.0
tcp,http,SF,328,2243,21,21,1,0.0,0.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
tcp,http,SF,251,301,3,7,1,0.0,0.0
tcp,smtp,SF,2089,335,2,2,1,0.0,0.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
tcp,http,SF,237,511,1,1,1,0.0,0.0
tcp,http,SF,324,431,4,5,1,0.0,0.0
tcp,private,RSTR,1,0,2,2,0,0.0,1.0
tcp,Z39_50,REJ,0,0,110,17,0,0.0,1.0
udp,private,SF,105,145,4,1,0,0.0,0.0
tcp,http,SF,218,974,6,6,1,0.0,0.0
tcp,http,SF,325,2649,7,7,1,0.0,0.0
tcp,uucp_path,REJ,0,0,246,20,0,0.0,1.0
tcp,bgp,REJ,0,0,272,19,0,0.0,1.0
tcp,csnet_ns,S0,0,0,259,8,0,1.0,0.0
tcp,http,SF,328,275,9,10,1,0.0,0.0
tcp,bgp,S0,0,0,294,6,0,1.0,0.0
tcp,finger,SF,9,138,1,1,0,0.0,0.0
udp,domain_u,SF,46,46,96,178,0,0.0,0.0
tcp,smtp,SF,1079,334,1,1,1,0.0,0.0
udp,domain_u,SF,45,139,79,159,0,0.0,0.0
tcp,ftp,SF,273,903,1,1,1,0.0,0.0
tcp,private,S0,0,0,190,20,0,1.0,0.0
tcp,ldap,REJ,0,0,135,5,0,0.0,1.0
tcp,http,SF,237,138,2,2,1,0.0,0.0
tcp,http,SF,225,1357,1,1,1,0.0,0.0
tcp,private,S0,0,0,123,7,0,1.0,0.0
tcp,supdup,S0,0,0,245,20,0,1.0,0.0
udp,other,SF,147,0,3,1,0,0.0,0.0
tcp,http,SF,262,1011,3,4,1,0.0,0.0
icmp,ecr_i,SF,1032,0,263,263,0,0.0,0.0
tcp,private,S0,0,0,109,13,0,1.0,0.0
tcp,http,SF,261,8412,9,9,1,0.0,0.0
tcp,bgp,REJ,0,0,145,8,0,0.0,1.0
tcp,netbios_dgm,REJ,0,0,250,2,0,0.0,1.0
tcp,http,SF,294,1719,8,8,1,0.0,0.0
tcp,http,SF,221,981,2,3,1,0.0,0.0
tcp,http,SF,284,10352,2,2,1,0.0,0.0
tcp,gopher,SH,0,0,1,1,0,1.0,0.0
tcp,http,SF,309,16096,3,3,1,0.0,0.0
tcp,ftp_data,SF,334,0,2,2,1,0.0,0.0
tcp,telnet,S0,0,0,13,4,0,1.0,0.0
tcp,private,S0,0,0,87,1,0,1.0,0.0
tcp,http,SF,214,283,2,2,1,0.0,0.0
tcp,vmnet,S0,0,0,292,13,0,1.0,0.0
tcp,systat,S0,0,0,295,18,0,1.0,0.0
tcp,http_443,S0,0,0,143,15,0,1.0,0.0
udp,domain_u,SF,46,78,278,277,0,0.0,0.0
tcp,ftp_data,SF,748,0,1,1,1,0.0,0.0
tcp,efs,S0,0,0,102,19,0,1.0,0.0
icmp,eco_i,SF,8,0,1,46,0,0.0,0.0
tcp,whois,S0,0,0,251,3,0,1.0,0.0
tcp,http,SF,329,8437,4,4,1,0.0,0.0
tcp,ftp_data,SF,9,0,2,2,1,0.0,0.0
udp,domain_u,SF,46,128,222,302,0,0.0,0.0
tcp,ftp_data,SF,1766,0,2,2,1,0.0,0.0
tcp,remote_job,S0,0,0,260,4,0,1.0,0.0
tcp,other,RSTR,1,0,2,2,0,0.0,1.0
tcp,finger,SF,8,135,1,1,0,0.0,0.0
tcp,http,SF,266,529,1,6,1,0.0,0.0
tcp,ftp_data,SF,245,0,3,2,0,0.0,0.0
tcp,http,SF,295,465,11,12,1,0.0,0.0
tcp,gopher,S0,0,0,44,12,0,1.0,0.0
tcp,http,SF,228,6834,2,7,1,0.0,0.0
icmp,ecr_i,SF,1032,0,511,511,0,0.0,0.0
tcp,imap4,REJ,0,0,272,15,0,0.0,1.0
tcp,private,S0,0,0,122,19,0,0.99,0.0
tcp,whois,S0,0,0,287,3,0,1.0,0.0
tcp,http,REJ,0,0,1,3,0,0.0,1.0
tcp,other,REJ,0,0,486,1,0,0.08,0.89
udp,other,SF,1,0,22,6,0,0.0,0.0
tcp,iso_tsap,S0,0,0,286,9,0,1.0,0.0
icmp,ecr_i,SF,30,0,1,1,0,0.0,0.0
tcp,smtp,SF,2078,333,1,2,1,0.0,0.0
tcp,ftp_data,SF,19,0,1,1,0,0.0,0.0
tcp,smtp,SF,661,329,1,1,1,0.0,0.0
udp,private,SF,28,0,35,34,0,0.0,0.03
tcp,ftp_data,S0,0,0,28,2,0,1.0,0.0
tcp,private,S0,0,0,108,18,0,1.0,0.0
tcp,private,S0,0,0,101,5,0,1.0,0.0
tcp,smtp,SF,1075,364,1,2,1,0.0,0.0
tcp,http,SF,223,656,12,21,1,0.0,0.0
tcp,ftp,SF,350,1185,1,2,1,0.0,0.0
tcp,http,SF,233,2470,10,10,1,0.0,0.0
tcp,private,S0,0,0,223,10,0,1.0,0.0
tcp,echo,S0,0,0,223,17,0,1.0,0.0
tcp,http,SF,201,1938,19,34,1,0.0,0.0
tcp,http,SF,271,4781,4,7,1,0.0,0.0
tcp,ftp_data,SF,14416,0,1,1,1,0.0,0.0
tcp,http,SF,227,11564,5,6,1,0.0,0.0
tcp,private,REJ,0,0,406,1,0,0.0,1.0
tcp,http,SF,225,2445,4,5,1,0.0,0.0
tcp,http,SF,176,426,6,6,1,0.0,0.0
tcp,klogin,S0,0,0,143,14,0,1.0,0.0
tcp,http,SF,227,762,17,17,1,0.0,0.0
tcp,smtp,SF,855,575,1,1,1,0.0,0.0
tcp,smtp,SF,944,330,1,1,1,0.0,0.0
tcp,smtp,SF,954,326,2,1,1,0.0,0.0
tcp,uucp_path,S0,0,0,201,18,0,1.0,0.0
tcp,http,SF,166,34660,1,1,1,0.0,0.0
tcp,http,SF,306,2698,4,5,1,0.0,0.0
tcp,netbios_ns,S0,0,0,124,19,0,1.0,0.0
tcp,private,REJ,0,0,162,1,0,0.05,0.94
icmp,ecr_i,SF,1480,0,2,4,0,0.0,0.0
tcp,iso_tsap,S0,0,0,277,17,0,1.0,0.0
tcp,http,SF,313,8549,4,4,1,0.0,0.0
tcp,link,S0,0,0,274,22,0,1.0,0.0
tcp,sunrpc,S0,0,0,141,12,0,1.0,0.0
tcp,http,SF,285,6008,3,3,1,0.0,0.0
tcp,http,SF,226,1411,8,23,1,0.0,0.0
tcp,http,SF,256,12984,1,1,1,0.0,0.0
tcp,smtp,SF,3740,449,1,3,1,0.0,0.0
tcp,http,SF,224,449,10,11,1,0.1,0.0
tcp,login,S0,0,0,103,3,0,1.0,0.0
tcp,ftp_data,SF,832,0,1,1,1,0.0,0.0
tcp,finger,S0,0,0,246,20,0,1.0,0.0
icmp,eco_i,SF,8,0,1,50,0,0.0,0.0
tcp,http,SF,201,169,7,7,1,0.0,0.0
tcp,http,SF,285,304,32,34,1,0.0,0.0
tcp,kshell,S0,0,0,125,24,0,1.0,0.0
tcp,ftp_data,SF,7422,0,8,8,1,0.0,0.0
tcp,http,SF,198,12884,2,2,1,0.0,0.0
tcp,smtp,SF,2310,328,1,3,1,0.0,0.0
tcp,http,SF,331,955,6,6,1,0.0,0.0
icmp,urp_i,SF,65,0,9,2,0,0.0,0.0
udp,private,SF,28,0,4,4,0,0.0,0.0
udp,domain_u,SF,45,77,171,173,0,0.0,0.0
tcp,ftp,RSTO,0,0,250,3,0,0.0,1.0
tcp,auth,S0,0,0,238,7,0,1.0,0.0
tcp,kshell,S0,0,0,102,2,0,1.0,0.0
tcp,finger,SF,9,142,1,1,0,0.0,0.0
tcp,http,SF,283,912,2,2,1,0.0,0.0
tcp,http,SF,221,1789,2,10,1,0.5,0.0
icmp,eco_i,SF,18,0,1,1,0,0.0,0.0
tcp,vmnet,S0,0,0,281,2,0,1.0,0.0
tcp,telnet,S0,0,0,30,2,0,1.0,0.0
tcp,ftp_data,S0,0,0,276,8,0,1.0,0.0
tcp,http,SF,302,1380,5,5,1,0.0,0.0
tcp,private,S0,0,0,163,9,0,1.0,0.0
icmp,eco_i,SF,8,0,1,21,0,0.0,0.0
tcp,private,S0,0,0,301,20,0,1.0,0.0
tcp,http,SF,355,870,28,28,1,0.0,0.0
icmp,eco_i,SF,8,0,1,23,0,0.0,0.0
tcp,telnet,SF,106,1468,1,1,0,0.0,0.0
tcp,http,SF,286,1423,16,16,1,0.0,0.0
tcp,other,RSTR,1,0,2,2,0,0.0,1.0
tcp,sql_net,SH,0,0,1,1,0,1.0,0.0
icmp,ecr_i,SF,1032,0,46,46,0,0.0,0.0
tcp,http,SF,168,9551,1,2,1,0.0,0.0
tcp,http,SF,238,864,39,39,1,0.0,0.0
tcp,private,RSTR,0,0,1,1,0,0.0,1.0
tcp,http,SF,291,10369,6,6,1,0.0,0.0
tcp,vmnet,S0,0,0,211,22,0,1.0,0.0
tcp,smtp,SF,749,330,1,1,1,0.0,0.0
tcp,http,SF,198,6924,12,12,1,0.0,0.0
tcp,mtp,REJ,0,0,280,11,0,0.0,1.0
tcp,http,SF,167,709,1,4,1,0.0,0.0
tcp,http,SF,241,851,17,35,1,0.0,0.0
tcp,http,SF,337,3360,6,6,1,0.0,0.0
tcp,smtp,SF,729,328,1,1,1,0.0,0.0
icmp,eco_i,SF,8,0,1,44,0,0.0,0.0
tcp,csnet_ns,S0,0,0,201,1,0,1.0,0.0
tcp,http,SF,222,1483,3,3,1,0.0,0.0
tcp,auth,REJ,0,0,276,14,0,0.0,1.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
udp,domain_u,SF,46,134,145,225,0,0.0,0.0
tcp,http,SF,246,2719,1,1,1,0.0,0.0
tcp,http,SF,222,771,8,8,1,0.0,0.0
tcp,vmnet,S0,0,0,258,10,0,1.0,0.0
tcp,private,S0,0,0,256,12,0,1.0,0.0
tcp,telnet,SF,279,9598,1,1,1,0.0,0.0
tcp,http,SF,226,651,12,12,1,0.0,0.0
tcp,http,SF,299,447,26,44,1,0.0,0.0
tcp,http,S0,0,0,14,6,0,1.0,0.0
tcp,ftp_data,SF,12,0,2,2,1,0.0,0.0
tcp,http,SF,281,1951,30,31,1,0.0,0.0
tcp,bgp,S0,0,0,138,25,0,1.0,0.0
udp,domain_u,SF,42,42,4,6,0,0.0,0.0
tcp,ftp,S0,0,0,300,7,0,1.0,0.0
tcp,time,S0,0,0,199,9,0,1.0,0.0
tcp,http,SF,263,453,15,15,1,0.0,0.0
tcp,private,RSTR,1,0,2,2,0,0.0,1.0
tcp,ftp,RSTO,0,0,1,1,0,0.0,1.0
tcp,private,S0,0,0,144,15,0,1.0,0.0
tcp,sql_net,S0,0,0,104,4,0,1.0,0.0
tcp,http,SF,283,1980,18,18,1,0.0,0.0
tcp,http,SF,161,5530,2,2,1,0.0,0.0
tcp,http,SF,211,321,7,11,1,0.0,0.0
tcp,http,SF,201,1701,7,7,1,0.0,0.0
icmp,eco_i,SF,8,0,1,25,0,0.0,0.0
udp,other,SF,147,0,3,1,0,0.0,0.0
tcp,private,S0,0,0,74,16,0,1.0,0.0
tcp,ftp_data,SF,567,0,1,1,0,0.0,0.0
tcp,hostnames,REJ,0,0,225,2,0,0.0,1.0
tcp,telnet,S0,0,0,66,16,0,0.97,0.03
tcp,ftp_data,SF,5131424,0,1,7,1,0.0,0.0
tcp,http,SF,320,420,7,7,1,0.0,0.0
icmp,eco_i,SF,8,0,1,35,0,0.0,0.0
tcp,smtp,S0,0,0,2,2,0,0.5,0.0
tcp,http,SF,204,1229,4,4,1,0.0,0.0
tcp,time,RSTR,0,0,1,1,0,0.0,1.0
tcp,ftp_data,SF,10389,0,1,1,1,0.0,0.0
tcp,uucp,S0,0,0,139,13,0,1.0,0.0
tcp,http,SF,344,573,28,60,1,0.04,0.0
tcp,exec,RSTO,0,0,144,16,0,0.0,1.0
tcp,netbios_dgm,S0,0,0,241,19,0,1.0,0.0
tcp,http,SF,243,821,15,19,1,0.0,0.0
icmp,ecr_i,SF,1032,0,213,213,0,0.0,0.0
icmp,eco_i,SF,8,0,1,45,0,0.0,0.0
tcp,private,REJ,0,0,36,1,0,0.17,0.83
udp,private,SF,105,146,3,2,0,0.0,0.0
tcp,private,S0,0,0,254,17,0,1.0,0.0
tcp,smtp,SF,1080,327,1,2,1,0.0,0.0
tcp,telnet,S0,0,0,295,7,0,1.0,0.0
tcp,private,S0,0,0,171,3,0,1.0,0.0
tcp,Z39_50,S0,0,0,179,2,0,1.0,0.0
tcp,smtp,SF,657,326,2,1,1,0.0,0.0
tcp,http_443,S0,0,0,101,7,0,1.0,0.0
tcp,http,SF,284,765,9,9,1,0.0,0.0
tcp,http,SF,261,15455,22,22,1,0.0,0.0
tcp,http,SF,317,315,1,2,1,0.0,0.0
udp,domain_u,SF,33,0,8,8,0,0.0,0.0
tcp,private,REJ,0,0,2,1,0,0.0,1.0
tcp,private,RSTR,0,0,1,1,0,0.0,1.0
udp,domain_u,SF,44,70,195,197,0,0.0,0.0
tcp,http,SF,215,584,4,9,1,0.0,0.0
tcp,private,S0,0,0,260,9,0,1.0,0.0
tcp,http,SF,332,2844,14,14,1,0.0,0.0
tcp,smtp,SF,978,334,1,3,1,0.0,0.0
tcp,http,SF,296,5670,10,10,1,0.0,0.0
tcp,telnet,S0,0,0,125,13,0,1.0,0.0
tcp,private,REJ,0,0,139,10,0,0.0,1.0
tcp,http,SF,214,9986,10,11,1,0.0,0.0
tcp,private,S0,0,0,251,7,0,1.0,0.0
udp,ntp_u,SF,48,48,1,1,0,0.0,0.0
tcp,http,SF,226,1301,5,5,1,0.0,0.0
tcp,bgp,S0,0,0,211,17,0,1.0,0.0
icmp,urp_i,SF,78,0,20,8,0,0.0,0.0
tcp,private,S0,0,0,208,2,0,1.0,0.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
tcp,discard,S0,0,0,268,19,0,1.0,0.0
tcp,private,REJ,0,0,1,1,0,0.0,1.0
tcp,private,REJ,0,0,2,1,0,0.0,1.0
tcp,http,SF,294,3327,1,19,1,0.0,0.0
tcp,supdup,S0,0,0,286,3,0,1.0,0.0
tcp,http,SF,220,1249,7,7,1,0.0,0.0
tcp,other,REJ,0,0,425,1,0,0.08,0.91
tcp,http,SF,196,3282,8,9,1,0.0,0.0
tcp,http,S0,0,0,272,30,0,1.0,0.0
tcp,http,SF,327,4482,4,8,1,0.0,0.0
tcp,uucp_path,REJ,0,0,241,3,0,0.0,1.0
tcp,ftp_data,SF,319,0,2,2,0,0.0,0.0
tcp,smtp,SF,1087,302,1,1,1,0.0,0.0
tcp,http,SF,210,3754,18,18,1,0.0,0.0
tcp,sql_net,S0,0,0,125,19,0,1.0,0.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
tcp,http,SF,234,6282,6,6,1,0.0,0.0
icmp,eco_i,SF,8,0,1,18,0,0.0,0.0
tcp,http,SF,54540,8314,1,1,1,0.0,0.0
tcp,http,SF,237,1461,3,3,1,0.0,0.0
tcp,ftp_data,S0,0,0,42,10,0,1.0,0.0
tcp,private,S0,0,0,274,10,0,1.0,0.0
tcp,http,SF,200,955,3,3,1,0.0,0.0
tcp,http,SF,219,657,7,9,1,0.0,0.0
tcp,http,SF,284,5921,1,1,1,0.0,0.0
tcp,nntp,S0,0,0,196,12,0,1.0,0.0
tcp,http,SF,325,426,5,5,1,0.0,0.0
tcp,courier,S0,0,0,111,6,0,1.0,0.0
icmp,eco_i,SF,30,0,1,1,0,0.0,0.0
tcp,http,SF,335,7902,1,8,1,0.0,0.0
udp,domain_u,SF,36,0,2,4,0,0.0,0.0
tcp,private,S0,0,0,168,3,0,1.0,0.0
udp,domain_u,SF,43,43,122,188,0,0.0,0.0
tcp,courier,S0,0,0,108,8,0,1.0,0.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
tcp,private,S0,0,0,36,12,0,1.0,0.0
tcp,private,S0,0,0,143,19,0,1.0,0.0
tcp,http,SF,216,1956,1,21,1,0.0,0.0
tcp,uucp,S0,0,0,132,8,0,1.0,0.0
udp,domain_u,SF,44,78,139,139,0,0.0,0.0
tcp,http,SF,347,8113,7,7,1,0.0,0.0
tcp,smtp,SF,570,280,1,1,1,0.0,0.0
tcp,http,SF,219,17540,8,8,1,0.0,0.0
udp,other,SF,146,0,3,1,0,0.0,0.0
tcp,ftp,S0,0,0,222,1,0,1.0,0.0
tcp,private,S0,0,0,260,8,0,1.0,0.0
tcp,private,S0,0,0,237,15,0,1.0,0.0
tcp,private,S0,0,0,132,15,0,1.0,0.0
tcp,private,RSTR,1,0,2,2,0,0.0,1.0
tcp,private,S0,0,0,57,11,0,1.0,0.0
icmp,eco_i,SF,18,0,1,1,0,0.0,0.0
tcp,time,SF,0,4,1,1,0,0.0,0.0
tcp,http,SF,233,581,13,26,1,0.0,0.0
tcp,finger,S0,0,0,257,19,0,1.0,0.0
tcp,ftp_data,SF,276,0,1,1,0,0.0,0.0
udp,domain_u,SF,44,139,77,157,0,0.0,0.0
icmp,eco_i,SF,8,0,1,27,0,0.0,0.0
tcp,telnet,SF,1828,148722,1,1,1,0.0,0.0
tcp,http,SF,200,764,2,12,1,0.0,0.0
udp,domain_u,SF,46,46,11,20,0,0.0,0.0
tcp,private,S0,0,0,257,19,0,1.0,0.0
tcp,telnet,S0,0,0,13,13,0,1.0,0.0
tcp,http,SF,216,5284,9,9,1,0.0,0.0
tcp,exec,RSTO,0,0,137,9,0,0.0,1.0
tcp,http,SF,234,997,28,28,1,0.0,0.0
tcp,http,SF,220,1643,12,25,1,0.0,0.0
tcp,login,S0,0,0,132,3,0,1.0,0.0
udp,private,SF,105,146,7,1,0,0.0,0.0
tcp,http,REJ,0,0,1,1,0,0.0,1.0
tcp,Z39_50,S0,0,0,290,16,0,1.0,0.0
tcp,private,S0,0,0,203,2,0,1.0,0.0
tcp,private,S0,0,0,290,8,0,1.0,0.0
tcp,http,SF,288,2881,14,16,1,0.0,0.0
tcp,uucp,RSTO,0,0,116,3,0,0.0,1.0
tcp,private,S0,0,0,260,6,0,1.0,0.0
udp,private,SF,1,0,12,1,0,0.0,0.0
udp,private,SF,28,0,21,21,0,0.0,0.0
tcp,http,SF,279,494,2,2,1,0.0,0.0
icmp,ecr_i,SF,1032,0,486,486,0,0.0,0.0
tcp,ftp_data,SF,192,0,2,3,1,0.0,0.0
tcp,telnet,SF,105,1401,1,1,1,0.0,0.0
tcp,private,REJ,0,0,1,1,0,0.0,1.0
tcp,smtp,SF,1330,282,1,1,1,0.0,0.0
icmp,ecr_i,SF,520,0,457,457,0,0.0,0.0
tcp,ftp_data,S0,0,0,47,4,0,1.0,0.0
tcp,http,SF,230,362,10,18,1,0.0,0.0
udp,domain_u,SF,44,110,71,151,0,0.0,0.0
tcp,http,SF,271,3582,12,12,1,0.0,0.0
tcp,http,SF,179,1668,6,6,1,0.0,0.0
tcp,ftp_data,SF,852,0,6,6,0,0.0,0.0
tcp,http,SF,222,310,5,13,1,0.0,0.0
tcp,http,SF,314,4137,7,7,1,0.0,0.0
tcp,login,RSTO,0,0,139,10,0,0.0,1.0
tcp,http,SF,230,6880,1,17,1,0.0,0.0
tcp,whois,S0,0,0,200,6,0,1.0,0.0
tcp,ctf,S0,0,0,140,1,0,1.0,0.0
tcp,smtp,SF,857,327,1,1,1,0.0,0.0
tcp,http,SF,234,1707,9,9,1,0.0,0.0
icmp,ecr_i,SF,1032,0,511,511,0,0.0,0.0
udp,private,SF,28,0,68,68,0,0.0,0.0
tcp,private,S0,0,0,132,7,0,1.0,0.0
tcp,http,SF,215,6367,9,9,1,0.0,0.0
udp,domain_u,SF,46,46,215,215,0,0.0,0.0
udp,private,SF,105,146,1,1,0,0.0,0.0
tcp,private,S0,0,0,115,18,0,1.0,0.0
tcp,private,S0,0,0,35,16,0,1.0,0.0
tcp,csnet_ns,S0,0,0,275,15,0,1.0,0.0
tcp,http,SF,305,2507,4,4,1,0.0,0.0
tcp,private,REJ,0,0,76,13,0,0.0,1.0
tcp,http,SF,336,15767,12,12,1,0.0,0.0
tcp,csnet_ns,S0,0,0,202,2,0,1.0,0.0
tcp,private,S0,0,0,252,14,0,1.0,0.0
udp,other,SF,147,105,1,1,0,0.0,0.0
tcp,http,SF,335,1212,3,3,1,0.0,0.0
tcp,telnet,S0,0,0,74,17,0,1.0,0.0
tcp,http,SF,339,241,1,1,1,0.0,0.0
tcp,http,SF,317,3245,4,4,1,0.0,0.0
tcp,private,S0,0,0,116,19,0,1.0,0.0
tcp,http,SF,54540,8314,2,2,1,0.0,0.0
tcp,vmnet,S0,0,0,197,2,0,1.0,0.0
udp,domain_u,SF,42,131,80,160,0,0.0,0.0
tcp,smtp,SF,986,368,1,1,1,0.0,0.0
tcp,private,S0,0,0,198,4,0,1.0,0.0
icmp,urp_i,SF,183,0,4,4,0,0.0,0.0
tcp,private,REJ,0,0,102,3,0,0.0,1.0
tcp,http,SF,405,23786,1,1,1,0.0,0.0
tcp,link,S0,0,0,223,21,0,1.0,0.0
tcp,smtp,SF,785,327,1,1,1,0.0,0.0
tcp,http,SF,258,4302,1,1,1,0.0,0.0
tcp,login,S0,0,0,138,6,0,1.0,0.0
icmp,eco_i,SF,8,0,1,28,0,0.0,0.0
tcp,http,SF,318,2649,5,5,1,0.0,0.0
tcp,private,REJ,0,0,154,1,0,0.0,1.0
tcp,ssh,S0,0,0,204,18,0,1.0,0.0
tcp,time,S0,0,0,262,4,0,1.0,0.0
tcp,http,SF,216,1240,8,8,1,0.0,0.0
tcp,private,RSTR,0,0,25,2,0,0.0,1.0
tcp,http,SF,291,320,3,3,1,0.0,0.0
